id,lot_frontage,lot_area,neighborhood,overall_qual,year_built,year_remod_add,mas_vnr_area,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,heating_qc,electrical,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,kitchen_qual,totrms_abvgrd,fireplaces,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,saleprice,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone,exterior_2nd_AsphShn,exterior_2nd_Brk Cmn,exterior_2nd_BrkFace,exterior_2nd_CBlock,exterior_2nd_CmentBd,exterior_2nd_HdBoard,exterior_2nd_ImStucc,exterior_2nd_MetalSd,exterior_2nd_Plywood,exterior_2nd_Stone,exterior_2nd_Stucco,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,exterior_2nd_Wd Shng,exterior_1st_AsphShn,exterior_1st_BrkComm,exterior_1st_BrkFace,exterior_1st_CBlock,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_ImStucc,exterior_1st_MetalSd,exterior_1st_Plywood,exterior_1st_Stone,exterior_1st_Stucco,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_1st_WdShing
109,68.0,13517,1,6,1976,2005,289.0,3,3,1,6,533.0,5,4,725,754,1479,0.0,2,1,4,6,0,1976.0,2,2.0,475.0,3,2,0,44,130500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,43.0,11492,2,7,1996,1997,132.0,4,3,1,6,637.0,5,4,913,1209,2122,1.0,2,1,4,8,1,1997.0,2,2.0,559.0,3,2,0,74,220000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
153,68.0,7922,1,5,1953,2007,0.0,3,3,1,6,731.0,3,4,1057,0,1057,1.0,1,0,4,5,0,1953.0,1,1.0,246.0,3,2,0,52,109000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
318,73.0,9802,3,5,2006,2007,0.0,4,3,1,1,0.0,4,4,744,700,1444,0.0,2,1,3,7,0,2007.0,3,2.0,400.0,3,2,100,0,174000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
255,82.0,14235,2,6,1900,1993,0.0,2,4,1,1,0.0,3,4,831,614,1445,0.0,2,0,3,6,0,1957.0,1,2.0,484.0,3,0,0,59,138500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
138,137.0,16492,1,6,1966,2002,0.0,3,3,1,5,247.0,5,4,1888,0,1888,0.0,2,1,4,6,1,1966.0,3,2.0,578.0,3,2,0,0,190000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2827,35.0,3675,0,6,2005,2006,82.0,4,3,4,6,547.0,4,4,1072,0,1072,1.0,2,0,3,5,0,2005.0,3,2.0,525.0,3,2,0,44,140000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
145,68.0,12160,1,5,1959,1959,180.0,3,3,1,3,1000.0,2,4,1188,0,1188,1.0,1,0,3,6,0,1959.0,2,2.0,531.0,3,2,0,0,142000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1942,68.0,15783,0,5,1952,1952,0.0,3,3,1,3,292.0,3,4,924,0,924,0.0,1,0,3,6,0,1952.0,1,1.0,420.0,3,2,0,324,112500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1956,70.0,11606,1,5,1969,1969,192.0,4,3,3,3,650.0,3,4,1040,1040,2080,0.0,1,2,2,9,2,1969.0,1,2.0,504.0,3,2,335,0,135000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
